sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels,errors
MQCCS-Black-B-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-B-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-b-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/3/22, 4:22 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",,"socks_color=Black,socks_size=B,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-B-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-B-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-b-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=B,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-A-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-A-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-a-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=A,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-A-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-A-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-a-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=A,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-D-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-D-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-d-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=D,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-D-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-D-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-d-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=D,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-C-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-C-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-c-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=C,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Black-C-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Black-C-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-black-c-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,socks_black.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Black,socks_size=C,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_black.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-B-Regular,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-B-Regular","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-b-regular,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=B,socks_style=Regular",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
MQCCS-Skin-B-Short,,"Socks Attribute Set",simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Compression Garments",base,"MediQuip Cushioned Compression Socks-Skin-B-Short","<p>Compression stockings are specially designed to apply pressure to your lower legs, helping to maintain blood flow and reduce discomfort and swelling. They may be prescribed by your GP if you have a condition that causes poor blood flow in your legs, such as: varicose veins (swollen and enlarged veins)</p>","<p>This is short description for compression socks.</p>",0.125,1,"Taxable Goods","Not Visible Individually",5,,,,mediquip-cushioned-compression-socks-skin-b-short,"MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks","MediQuip Cushioned Compression Socks ",socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,socks_skin.jpg,,"12/2/22, 11:12 AM","12/2/22, 11:12 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,,"socks_color=Skin,socks_size=B,socks_style=Short",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,socks_skin.jpg,,,,,,,,,,,,,,,
